mergr_deal_id,date,deal_type,target_id,target_name,target_sector,target_location,buyers,sellers,advisors,deal_value,_fetched_at
237441,2026-04-09,Add-on Acquisition,347934,Megadale,Machinery,"Galway, Ireland",Machine Solutions,,,,2026-09-03T15:00:00-05:00
237058,2026-04-01,Add-on Acquisition,347599,Infinity Lifts,Machinery,"Ennis, Ireland",Mitsubishi Electric,,,,2026-09-03T15:00:00-05:00
237971,2026-04-01,Add-on Acquisition,348356,Keydak,Machinery,"Guangzhou, China",Legrand,,,,2026-09-03T15:00:00-05:00
236987,2026-03-31,Divestiture,30688,Marioff,Machinery,"Vantaa, Finland",Inflexion,Spectrum Safety Solutions,,,2026-09-03T15:00:00-05:00
237004,2026-03-31,Add-on Acquisition,347556,Vinspec,Machinery,"Edmonton, Alberta, Canada",KJA,,,,2026-09-03T15:00:00-05:00
237009,2026-03-31,Add-on Acquisition,347563,Pump & Process Equipment,Machinery,"Birmingham, Alabama, United States",Citco Water,,,,2026-09-03T15:00:00-05:00
236923,2026-03-30,Add-on Acquisition,347484,Mechanical Solutions,Machinery,"Whippany, New Jersey, United States",Universal Plant Services,,,,2026-09-03T15:00:00-05:00
237039,2026-03-30,Add-on Acquisition,347585,Alchemist Filling Machines,Machinery,"Tempe, Arizona, United States",3Win,,,,2026-09-03T15:00:00-05:00
236742,2026-03-25,Add-on Acquisition,347331,Fauna Robotics,Machinery,"New York, New York, United States",Amazon,,,,2026-09-03T15:00:00-05:00
236775,2026-03-24,Divestiture,347356,SDC,Machinery,"New York, New York, United States",Atlas Copco,CVD Equipment,,16.9,2026-09-03T15:00:00-05:00
238284,2026-03-24,Add-on Acquisition,95725,Toyota Industries,Machinery,"Kariya, Japan",Elliott; Toyota Fudosan,,,5900000 JPY,2026-09-03T15:00:00-05:00
236766,2026-03-23,Add-on Acquisition,347349,ThermoKey,Machinery,"Rivarotta di Rivignano Teor, Italy",Vertiv,,,,2026-09-03T15:00:00-05:00
236571,2026-03-19,Add-on Acquisition,347187,Northern Air Systems,Machinery,"Rochester, New York, United States",AirX Climate Solutions,,,,2026-09-03T15:00:00-05:00
